,symbol,price variation,last prices
0,MC,-0.01,419.1
1,ENGI,-0.03,14.69
2,CAP,0.09,111.15
3,OR,-0.11,263.9
4,LR,-0.19,73.4
5,VIV,0.23,26.31
6,SU,-0.26,92.82
7,AI,-0.32,126.3
8,AIR,0.39,134.04
9,CA,0.4,15.03
10,SW,-0.47,105.1
11,ATO,-0.48,75.08
12,KER,0.48,600.902
13,VIE,0.5,24.05
14,RI,0.53,161.2
15,ML,-0.6,107.8
16,ACA,-0.61,13.1
17,SAN,0.62,90.78
18,DG,-0.62,99.22
19,ORA,0.65,13.26
20,BN,0.87,74.62
21,GLE,-1.01,31.33
22,FTI,1.06,19.12
23,FP,1.13,50.38
24,BNP,-1.19,52.94
25,EN,-1.24,38.13
26,HO,1.27,94.121
27,AC,-1.32,41.21
28,SGO,-1.74,36.34
29,UG,-1.93,21.32
